"value";"language"
"product";"en"
"product name";"en"
"product no";"en"
"product number";"en"
"product id";"en"
"goods";"en"
"item name";"en"
"item code";"en"
"item number";"en"
"item no";"en"
"material";"en"
"material no";"en"
"material name";"en"
"material id";"en"
"sales employee";"en"
"sales emp";"en"
"sales man";"en"
"sales people";"en"
"sales person";"en"
"sales staff";"en"
"sales representative";"en"
"sales rep";"en"
"buyer";"en"
"buyer code";"en"
"buyer name";"en"
"year";"en"
"posting year";"en"
"fiscal year";"en"
"financial year";"en"
"yearly";"en"
"quarter";"en"
"posting quarter";"en"
"quarterly";"en"
"month";"en"
"posting month";"en"
"monthly";"en"
